file,class,width,height,format,sha256,group_id
data/raw/commons/limpo/commons-2cfaa76e8e6671f4.jpg,limpo,960,720,JPEG,2cfaa76e8e6671f4f0409e1d070e3fa0d231a4e2b083031c675715ea216f4767,commons-162912038
data/raw/commons/limpo/commons-44d4bbffd201666a.jpg,limpo,960,1405,JPEG,44d4bbffd201666a17cbc8a526953b08866cdbadd915f1d6d3a1b66756dd89f4,commons-454125
data/raw/commons/limpo/commons-47f2889f7d97eda9.jpg,limpo,726,712,JPEG,47f2889f7d97eda986373165d0780c53091f4118d96a0a2cb1c18a8fef82a6a6,commons-87827468
data/raw/commons/limpo/commons-73b1743f7e7f14ba.jpg,limpo,960,1280,JPEG,73b1743f7e7f14bac9bc82a0e9e276cee99984428c9fbfacdd1e6fd1127b05da,commons-89641812
data/raw/commons/limpo/commons-b1aeb848b1e93126.jpg,limpo,960,720,JPEG,b1aeb848b1e9312660a43e0f094d478fe140f0cf30984f7c64aabc4f535dd6cb,commons-105399732
data/raw/commons/limpo/commons-ef5aded3626e303e.jpg,limpo,960,837,JPEG,ef5aded3626e303ebc42a15382e29ca2da46fb2718a211d289c4743befd42405,commons-19045643
data/raw/commons/limpo/commons-9ff73eb407e42bc3.jpg,limpo,682,682,JPEG,9ff73eb407e42bc3cf850fa6cf4660ca92855c25dc11678a0d172a7963501185,commons-51969746
data/raw/commons/limpo/commons-383b98837cc5156b.jpg,limpo,960,1473,JPEG,383b98837cc5156b3064c5acd72fa05056ba7a288ab9e03bd8d0b1ff71cf5804,commons-51969756
data/raw/commons/sujo/commons-03e33b13ca1ba776.jpg,sujo,960,640,JPEG,03e33b13ca1ba77679873a58061d12c45b8d603d32290a1b13581fb83d817108,commons-5204599
data/raw/proprias/limpo/limpo2.jpg,limpo,4000,3000,JPEG,cf3a2f71b8bb300ba2b158e7858ca3757f36ed4d714d70be76da5c072e3ca6bd,local-limpo-2020
data/raw/proprias/sujo/sujo19.jpg,sujo,4000,3000,JPEG,a63961231a7806afe6717ae4751747269a59749d7bf6401e7c1d0bd36001da68,local-sujo-2020
data/raw/commons/limpo/commons-4fac7c81c5f78c02.jpg,limpo,960,1420,JPEG,4fac7c81c5f78c020bd7c7a7cb8b941043cff7f9dca66784d313598a2e789f51,commons-46437382
data/raw/commons/limpo/commons-fb9e8e919ad650f0.jpg,limpo,640,1280,JPEG,fb9e8e919ad650f06015edb49cb30518d66ebdbdef0ceb57da91238cf4e3527f,commons-144422245
data/raw/commons/limpo/commons-621bb55c21efeb12.jpg,limpo,960,1280,JPEG,621bb55c21efeb12e8b7f77f260be2e913267269b0289361cd07bfbbb163fc53,commons-25997735
data/raw/commons/limpo/commons-7d934fca90f89f83.jpg,limpo,960,686,JPEG,7d934fca90f89f83a4f5e4eea41ee1c2f606eb8c38e33ef4f30703c94cd1cce3,commons-198526479
data/raw/commons/limpo/commons-79a3ca2d05ab48a2.jpg,limpo,960,1438,JPEG,79a3ca2d05ab48a2599237eb2c4546309ede237dd380099de802f741852e879c,commons-73391967
data/raw/commons/limpo/commons-3bf36e1c45117724.jpg,limpo,960,1280,JPEG,3bf36e1c45117724b665f02e8572ee17c251245a0d5da8d8c1f768eb0be7fa6b,commons-34360675
data/raw/commons/limpo/commons-3514d551c5659310.jpg,limpo,960,540,JPEG,3514d551c5659310a7fcc73b8538aec4f08065dc27219cbb29a6c072c8352369,commons-94721667
data/raw/commons/limpo/commons-961a008c73cc41b0.jpg,limpo,960,686,JPEG,961a008c73cc41b0c22445b331970f6c5568cb3c29fd192c0fbe76bffa799191,commons-118053028
data/raw/commons/limpo/commons-483ef996fb3ec8ba.jpg,limpo,240,320,JPEG,483ef996fb3ec8ba0437657394ebcb9ef1c7ce8d35595f9ec9d1cfac9e378817,commons-96966934
data/raw/commons/limpo/commons-48623b0da138f1ac.jpg,limpo,768,1024,JPEG,48623b0da138f1acd6bae283fdf81d10ce57a7ced571f4d333262b6cef026baa,commons-430708
data/raw/commons/limpo/commons-fa82bc92cc00cfa9.jpg,limpo,960,1114,JPEG,fa82bc92cc00cfa90ab9dd2b624ff7f5982adaba7c0d3e8e8cd9c917e7d476d9,commons-165949376
data/raw/commons/limpo/commons-a3976803e517e574.jpg,limpo,170,299,JPEG,a3976803e517e5747118860401fb644b8c897a164feb1c5d71cf4eff11901edf,commons-36329345
data/raw/commons/limpo/commons-8e6a1794134b2d9c.jpg,limpo,960,641,JPEG,8e6a1794134b2d9c91dd06980234f4a3939bd7886b5f6ff029ff7de038d7c8ff,commons-148627446
data/raw/commons/limpo/commons-bb44a88fb7612777.jpg,limpo,700,933,JPEG,bb44a88fb76127779aeccc669f0eb9a736a58652b951bcc85f8767000ed9a473,commons-14842259
data/raw/commons/limpo/commons-03394e955c0e7b07.jpg,limpo,960,720,JPEG,03394e955c0e7b0758e4403752406564529420cdad54300acf1627a4eb7e68a1,commons-106394147
data/raw/commons/limpo/commons-80a197c1fa31e8a7.jpg,limpo,960,720,JPEG,80a197c1fa31e8a7170e510a333a9a431c64be2a0edb141691524ef6c45b9243,commons-106394146
data/raw/commons/limpo/commons-0a1ccba619872d60.jpg,limpo,960,1440,JPEG,0a1ccba619872d6039ac2b2d9082f09677e355db629992151dafe6bb4a2ce372,commons-11301183
data/raw/commons/limpo/commons-5fd27b4bf6670671.jpg,limpo,960,1280,JPEG,5fd27b4bf667067104433a1ee05aac865e286273f637015a958b73d92f0e1af4,commons-24693748
data/raw/commons/limpo/commons-8ad1c7844c674ea4.jpg,limpo,960,443,JPEG,8ad1c7844c674ea4dcef722ef7463625fe84c0b887a817d8b1cee5c4e9ccfbfa,commons-86222081
